left_leg_upper,left_leg_lower,right_leg_upper,right_leg_lower,left_arm_upper,left_arm_lower,right_arm_upper,right_arm_lower,t_left_leg_upper,t_left_leg_lower,t_right_leg_upper,t_right_leg_lower,t_left_arm_upper,t_left_arm_lower,t_right_arm_upper,t_right_arm_lower
355.0002,315,37.5,350,27.50001,60,330,40,355.3335,315,37,350,27.33334,60,330,40
355.3335,315,37,350,27.33334,60,330,40,355.6668,315,36.5,350,27.16667,60,330,40
355.6668,315,36.5,350,27.16667,60,330,40,356.0002,315,36,350,27,60,330,40
356.0002,315,36,350,27,60,330,40,356.3335,315,35.5,350,26.83334,60,330,40
356.3335,315,35.5,350,26.83334,60,330,40,356.6669,315,35,350,26.66667,60,330,40
356.6669,315,35,350,26.66667,60,330,40,357.0002,315,34.5,350,26.5,60,330,40
357.0002,315,34.5,350,26.5,60,330,40,357.3336,315,34,350,26.33333,60,330,40
357.3336,315,34,350,26.33333,60,330,40,357.6669,315,33.5,350,26.16666,60,330,40
357.6669,315,33.5,350,26.16666,60,330,40,358.0002,315,33,350,26,60,330,40
358.0002,315,33,350,26,60,330,40,358.3336,315,32.5,350,25.83333,60,330,40
358.3336,315,32.5,350,25.83333,60,330,40,358.6669,315,32,350,25.66666,60,330,40
358.6669,315,32,350,25.66666,60,330,40,359.0003,315,31.5,350,25.49999,60,330,40
359.0003,315,31.5,350,25.49999,60,330,40,359.3336,315,31,350,25.33332,60,330,40
359.3336,315,31,350,25.33332,60,330,40,359.667,315,30.5,350,25.16666,60,330,40
359.667,315,30.5,350,25.16666,60,330,40,0.0003051758,315,30,350,25,60,330,40
0.0003051758,315,30,350,25,60,330,40,0.08362833,315,29.16667,350.1667,24.33333,60.5,330.3333,40.66667
0.08362833,315,29.16667,350.1667,24.33333,60.5,330.3333,40.66667,0.1669515,315,28.33333,350.3333,23.66667,61,330.6667,41.33334
0.1669515,315,28.33333,350.3333,23.66667,61,330.6667,41.33334,0.2502747,315,27.5,350.5,23,61.5,331,42
0.2502747,315,27.5,350.5,23,61.5,331,42,0.3335978,315,26.66666,350.6666,22.33334,62,331.3334,42.66667
0.3335978,315,26.66666,350.6666,22.33334,62,331.3334,42.66667,0.416921,315,25.83333,350.8333,21.66667,62.5,331.6667,43.33334
0.416921,315,25.83333,350.8333,21.66667,62.5,331.6667,43.33334,0.5002441,315,25,350.9999,21,63,332.0001,44.00001
0.5002441,315,25,350.9999,21,63,332.0001,44.00001,0.5835673,315,24.16666,351.1666,20.33334,63.5,332.3334,44.66668
0.5835673,315,24.16666,351.1666,20.33334,63.5,332.3334,44.66668,0.6668905,315,23.33333,351.3333,19.66667,64,332.6667,45.33334
0.6668905,315,23.33333,351.3333,19.66667,64,332.6667,45.33334,0.7502137,315,22.49999,351.4999,19.00001,64.5,333.0001,46.00001
0.7502137,315,22.49999,351.4999,19.00001,64.5,333.0001,46.00001,0.8335369,315,21.66666,351.6666,18.33334,65,333.3334,46.66668
0.8335369,315,21.66666,351.6666,18.33334,65,333.3334,46.66668,0.91686,315,20.83333,351.8332,17.66667,65.5,333.6668,47.33335
0.91686,315,20.83333,351.8332,17.66667,65.5,333.6668,47.33335,1.000183,315,19.99999,351.9999,17.00001,66,334.0001,48.00002
1.000183,315,19.99999,351.9999,17.00001,66,334.0001,48.00002,1.083506,315,19.16666,352.1665,16.33334,66.5,334.3335,48.66668
1.083506,315,19.16666,352.1665,16.33334,66.5,334.3335,48.66668,1.166829,315,18.33332,352.3332,15.66667,67,334.6668,49.33335
1.166829,315,18.33332,352.3332,15.66667,67,334.6668,49.33335,1.250153,315,17.49999,352.4998,15.00001,67.5,335.0002,50.00002
1.250153,315,17.49999,352.4998,15.00001,67.5,335.0002,50.00002,1.333476,315,16.66666,352.6665,14.33334,68,335.3335,50.66669
1.333476,315,16.66666,352.6665,14.33334,68,335.3335,50.66669,1.416799,315,15.83332,352.8332,13.66667,68.5,335.6668,51.33335
1.416799,315,15.83332,352.8332,13.66667,68.5,335.6668,51.33335,1.500122,315,14.99999,352.9998,13.00001,69,336.0002,52.00002
1.500122,315,14.99999,352.9998,13.00001,69,336.0002,52.00002,1.583445,315,14.16666,353.1665,12.33334,69.5,336.3335,52.66669
1.583445,315,14.16666,353.1665,12.33334,69.5,336.3335,52.66669,1.666768,315,13.33332,353.3331,11.66667,70,336.6669,53.33336
1.666768,315,13.33332,353.3331,11.66667,70,336.6669,53.33336,1.750091,315,12.49999,353.4998,11.00001,70.5,337.0002,54.00003
1.750091,315,12.49999,353.4998,11.00001,70.5,337.0002,54.00003,1.833414,315,11.66666,353.6664,10.33334,71,337.3336,54.66669
1.833414,315,11.66666,353.6664,10.33334,71,337.3336,54.66669,1.916738,315,10.83333,353.8331,9.666672,71.5,337.6669,55.33336
